Season,Age,Squad,Country,Comp,LgRank,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
2002-2003,17,Sporting CP,pt POR,1. Primeira Liga,3rd,12,3,,15,,,1.25,,0.2,,,0,0,,,,,,Matches
2003-2004,18,Manchester Utd,eng ENG,1. Premier League,3rd,17.3,4,,21,,,1.22,,0.19,,,0,0,,,,,,Matches
2004-2005,19,Manchester Utd,eng ENG,1. Premier League,3rd,26.9,5,,59,,,2.19,,0.08,,,0,0,,,,,,Matches
2005-2006,20,Manchester Utd,eng ENG,1. Premier League,2nd,25.4,9,,47,,,1.85,,0.19,,,0,0,,,,,,Matches
2006-2007,21,Manchester Utd,eng ENG,1. Premier League,1st,30.9,17,,71,,,2.3,,0.2,,,3,4,,,,,,Matches
2007-2008,22,Manchester Utd,eng ENG,1. Premier League,1st,30.5,31,,89,,,2.92,,0.3,,,4,5,,,,,,Matches
2008-2009,23,Manchester Utd,eng ENG,1. Premier League,1st,30.5,18,,66,,,2.17,,0.21,,,4,4,,,,,,Matches
2009-2010,24,Real Madrid,es ESP,1. La Liga,2nd,27.3,26,,92,,,3.36,,0.24,,,4,5,,,,,,Matches
2010-2011,25,Real Madrid,es ESP,1. La Liga,2nd,32.4,40,,101,,,3.12,,0.32,,,8,8,,,,,,Matches
2011-2012,26,Real Madrid,es ESP,1. La Liga,1st,37.2,46,,113,,,3.04,,0.3,,,12,13,,,,,,Matches
2012-2013,27,Real Madrid,es ESP,1. La Liga,2nd,30.2,34,,112,,,3.71,,0.25,,,6,7,,,,,,Matches
2013-2014,28,Real Madrid,es ESP,1. La Liga,3rd,28.2,31,,103,,,3.66,,0.24,,,6,6,,,,,,Matches
2014-2015,29,Real Madrid,es ESP,1. La Liga,2nd,34.4,48,,106,,,3.08,,0.36,,,10,12,,,,,,Matches
2015-2016,30,Real Madrid,es ESP,1. La Liga,2nd,35.4,35,227,98,43.2,6.42,2.77,0.13,0.3,,,6,9,,,,,,Matches
2016-2017,31,Real Madrid,es ESP,1. La Liga,1st,28.2,25,162,61,37.7,5.74,2.16,0.12,0.31,,,6,8,,,,,,Matches
2017-2018,32,Real Madrid,es ESP,1. La Liga,3rd,25.4,26,174,72,41.4,6.85,2.84,0.13,0.32,15.7,15,3,4,25.2,22,0.13,0.8,1,Matches
2018-2019,33,Juventus,it ITA,1. Serie A,1st,29.9,21,171,62,36.3,5.73,2.08,0.09,0.26,18.6,16,5,6,22.2,17.5,0.1,-1.2,-1.5,Matches
2019-2020,34,Juventus,it ITA,1. Serie A,1st,32.4,31,195,67,34.4,6.02,2.07,0.1,0.28,19.5,19,12,13,28.6,18.4,0.09,2.4,0.6,Matches
2020-2021,35,Juventus,it ITA,1. Serie A,4th,31.1,29,160,61,38.1,5.14,1.96,0.14,0.38,18.5,17,6,8,27.7,21.4,0.13,1.3,1.6,Matches
2021-2022,36,Manchester Utd,eng ENG,1. Premier League,6th,27.3,18,107,39,36.4,3.92,1.43,0.14,0.38,15.5,8,3,3,17.7,15.4,0.15,0.3,-0.4,Matches
2022-2023,37,Manchester Utd,eng ENG,1. Premier League,3rd,5.8,1,25,6,24,4.29,1.03,0.04,0.17,17.7,1,0,0,1.9,1.9,0.08,-0.9,-0.9,Matches
2022-2023,37,Al-Nassr,sa KSA,1. Pro League,2nd,15.9,14,80,33,41.3,5.02,2.07,0.11,0.27,,,5,5,,,,,,Matches
2023-2024,38,Al-Nassr,sa KSA,1. Pro League,2nd,15.9,17,105,44,41.9,6.59,2.76,0.12,0.3,,,,,,,,,,